"PID
(hex)",Data bytes returned,Description,Min value,Max value,Units,Formula[a]
0,4,PIDs supported [01 - 20],,,,Bit encoded [A7..D0] == [PID $01..PID $20] See below
1,4,Monitor status since DTCs cleared. (Includes malfunction indicator lamp (MIL) status and number of DTCs.),,,,Bit encoded. See below
2,2,Freeze DTC,,,,
3,2,Fuel system status,,,,Bit encoded. See below
4,1,Calculated engine load,0,100,%,{\displaystyle {\tfrac {100}{255}}A} (or {\displaystyle {\tfrac {A}{2.55}}})
5,1,Engine coolant temperature,-40,215,°C,{\displaystyle A-40}
6,1,Short term fuel trim—Bank 1,-100 (Reduce Fuel: Too Rich),99.2 (Add Fuel: Too Lean),%,{\displaystyle {\frac {100}{128}}A-100}(or {\displaystyle {\tfrac {A}{1.28}}-100} )
7,1,Long term fuel trim—Bank 1,,,,
8,1,Short term fuel trim—Bank 2,,,,
9,1,Long term fuel trim—Bank 2,,,,
0A,1,Fuel pressure (gauge pressure),0,765,kPa,{\displaystyle 3A}
0B,1,Intake manifold absolute pressure,0,255,kPa,{\displaystyle A}
0C,2,Engine RPM,0,16383.75,rpm,{\displaystyle {\frac {256A+B}{4}}}
0D,1,Vehicle speed,0,255,km/h,{\displaystyle A}
0E,1,Timing advance,-64,63.5,° before TDC,{\displaystyle {\frac {A}{2}}-64}
0F,1,Intake air temperature,-40,215,°C,{\displaystyle A-40}
10,2,MAF air flow rate,0,655.35,grams/sec,{\displaystyle {\frac {256A+B}{100}}}
11,1,Throttle position,0,100,%,{\displaystyle {\tfrac {100}{255}}A}
12,1,Commanded secondary air status,,,,Bit encoded. See below
13,1,Oxygen sensors present (in 2 banks),,,,"[A0..A3] == Bank 1, Sensors 1-4. [A4..A7] == Bank 2..."
14,2,Oxygen Sensor 1   A: Voltage   B: Short term fuel trim,0 and 100,1.275 and 99.2,Volts and %,"{\displaystyle {\frac {A}{200}}}{\displaystyle {\frac {100}{128}}B-100}(if B==$FF, sensor is not used in trim calculation)"
15,2,Oxygen Sensor 2   A: Voltage   B: Short term fuel trim,0 and 100,1.275 and 99.2,Volts and %,
16,2,Oxygen Sensor 3   A: Voltage   B: Short term fuel trim,0 and 100,1.275 and 99.2,Volts and %,
17,2,Oxygen Sensor 4   A: Voltage   B: Short term fuel trim,0 and 100,1.275 and 99.2,Volts and %,
18,2,Oxygen Sensor 5   A: Voltage   B: Short term fuel trim,0 and 100,1.275 and 99.2,Volts and %,
19,2,Oxygen Sensor 6   A: Voltage   B: Short term fuel trim,0 and 100,1.275 and 99.2,Volts and %,
1A,2,Oxygen Sensor 7   A: Voltage   B: Short term fuel trim,0 and 100,1.275 and 99.2,Volts and %,
1B,2,Oxygen Sensor 8   A: Voltage   B: Short term fuel trim,0 and 100,1.275 and 99.2,Volts and %,
1C,1,OBD standards this vehicle conforms to,,,,Bit encoded. See below
1D,1,Oxygen sensors present (in 4 banks),,,,"Similar to PID 13, but [A0..A7] == [B1S1, B1S2, B2S1, B2S2, B3S1, B3S2, B4S1, B4S2]"
1E,1,Auxiliary input status,,,,A0 == Power Take Off (PTO) status (1 == active)         [A1..A7] not used
1F,2,Run time since engine start,0,65535,seconds,{\displaystyle 256A+B}
20,4,PIDs supported [21 - 40],,,,Bit encoded [A7..D0] == [PID $21..PID $40] See below
21,2,Distance traveled with malfunction indicator lamp (MIL) on,0,65535,km,{\displaystyle 256A+B}
22,2,Fuel Rail Pressure (relative to manifold vacuum),0,5177.265,kPa,{\displaystyle 0.079(256A+B)}
23,2,"Fuel Rail Gauge Pressure (diesel, or gasoline direct injection)",0,655350,kPa,{\displaystyle 10(256A+B)}
